ComplexID,Complex_Name,Organism,Subunits,GO_terms,Comment
1,BCL6-HDAC4 complex,Human,P41182;P56524,GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575,A
2,BCL6-HDAC5 complex,Human,P41182;Q9UQL6,GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575,B
3,BCL6-HDAC7 complex,Human,P41182;Q8WUI4,GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575,C
4,Multisubunit ACTR coactivator complex,Human,Q09472;Q92793;Q92831;Q9Y6Q9,GO:0045893;GO:0023052;GO:0005634,A
9,6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex,Mouse,P30561;P53762,GO:2001141;GO:0006355;GO:0003677;GO:0023052;GO:0009593;GO:0042221;GO:0005634,B
10,Condensin I complex,Human,O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3,GO:0000279;GO:0007067;GO:0030261;GO:0007059;GO:0051276;GO:0005694,C
11,BLOC-3 (biogenesis of lysosome-related organelles complex 3),Human,Q92902;Q9NQG7,GO:0007032;GO:0007040;GO:0007033,A
12,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Human,Q86YV9;Q969F9;Q9UPZ3,GO:0007032;GO:0007040;GO:0007033,B
13,MUS81-CDS1 complex,Human,Q92903;Q96NY9,GO:0006281;GO:0006310,C
14,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Mouse,P59438;Q8BLY7;Q91VB4,GO:0007032;GO:0007040;GO:0007033,A
15,NCOR complex,Human,O15379;O60907;O75376;Q13227;Q92828;Q9BZK7,GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634,B
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Human,O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45,None,C
24,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Mouse,O55102;Q5U5M8;Q8R015;Q8VED2;Q91WZ8;Q9CWG9;Q9R0C0;Q9Z266,GO:0007032;GO:0007040;GO:0007033,A
25,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,Mouse,O08915;P07901;P11499;P30561,GO:0006950;GO:0009593;GO:0042221;GO:0005737,B
26,Bestrophin-protein phosphatase 2A complex,Pig,P54612;P67776;Q8WMR7,GO:0006821;GO:0005216;GO:0023052;GO:0009583;GO:0009416;GO:0007601,C
27,Arp2/3 protein complex,Human,O15143;O15144;O15145;O15511;P59998;P61158;P61160,None,A
28,Modulator,Bovine,Q2KIW6;Q3SZ19;Q3SZ81,GO:0043161;GO:0006511;GO:0005524;GO:0051098;GO:0005515;GO:0016504,B
29,PA28gamma complex,Human,P61289,GO:0043161;GO:0005515;GO:0016504,C
30,PA28 complex,Human,Q06323;Q9UL46,GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737,A
31,PA28 complex,Bovine,Q2KJE7;Q5E9G3,GO:0043161;GO:0005515;GO:0016504;GO:0005737,B
32,PA700 complex,Human,O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6,GO:0043161;GO:0005515;GO:0016504,C
33,Prefoldin complex,Human,O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9,GO:0007010;GO:0006457;GO:0050821;GO:0030036,A
34,Aqp4-Dag1-Dmd-Snta1 complex,Rat,P11530;P47863;Q498T0;Q91XP6,GO:0015267;GO:0005886,B
36,AP1 adaptor complex,Human,O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5,GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133,C
37,Harmonin-CAD23 complex,Mouse,Q99PF4;Q9ES64,GO:0007605;GO:0030154,A
38,20S proteasome,Mouse,O09061;O55234;O70435;P49722;P70195;P99026;Q60692;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634,B
39,Immunoproteasome,Mouse,O09061;O35955;O70435;P28063;P28076;P49722;P99026;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0019882;GO:0005737;GO:0005634,C
