"ComplexID","Complex_Name","NUS","NQS","Coverage","Subunits","GO_terms","PubMed.ID","FC C2/C1","FC C3/C1","FC C4/C1","FC C5/C1","FC C6/C1","Noise"
1,"BCL6-HDAC4 complex",2,1,50,"P41182, P56524","GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575",11929873,NA,NA,NA,NA,NA,NA
10,"Condensin I complex",5,4,80,"O95347, Q15003, Q15021, Q9BPX3, Q9NTJ3","GO:0000279;GO:0030261;GO:0007059;GO:0051276;GO:0005694;GO:0000278",11136719,-1.202,-2.131,-3.997,-20.951,-16.757,0.057
12,"BLOC-2 (biogenesis of lysosome-related organelles complex 2)",3,1,33.33,"Q86YV9, Q969F9, Q9UPZ3","GO:0007032;GO:0007040;GO:0007033",15030569,NA,NA,NA,NA,NA,NA
15,"NCOR complex",6,1,16.67,"O15379, O60907, O75376, Q13227, Q92828, Q9BZK7","GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634",12628926,NA,NA,NA,NA,NA,NA
23,"BLOC-1 (biogenesis of lysosome-related organelles complex 1)",8,4,50,"O95295, P78537, Q6QNY0, Q6QNY1, Q8TDH9, Q96EV8, Q9NUP1, Q9UL45","None",15102850,-1.008,-1.001,1.074,1.08,1.299,0.785
27,"Arp2/3 protein complex",7,7,100,"O15143, O15144, O15145, O15511, P59998, P61158, P61160","GO:0005885;GO:0030833",9359840,-1.018,-1.06,-1.177,-1.383,-1.483,0.046
29,"PA28gamma complex",1,1,100,"P61289","GO:0043161;GO:0005515;GO:0016504",9325261,NA,NA,NA,NA,NA,NA
30,"PA28 complex",2,2,100,"Q06323, Q9UL46","GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737",9325261,1.325,1.572,1.663,1.697,1.724,0.05
32,"PA700 complex",20,20,100,"O00231, O00232, O00233, O00487, O43242, O75832, P17980, P35998, P43686, P48556, P51665, P55036, P62191, P62195, P62333, Q13200, Q15008, Q16401, Q99460, Q9UNM6","GO:0043161;GO:0005515;GO:0016504",9148964,-1.002,1,1.028,1.078,1.117,0.126
36,"AP1 adaptor complex",8,4,50,"O43747, O75843, P56377, P61966, Q10567, Q96PC3, Q9BXS5, Q9Y6Q5","GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133",9733768,-1.032,-1.102,-1.213,-1.274,-2.405,0.198
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",4,1,25,"P49768, Q92542, Q96BI3, Q9NZ42","GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794",15274632,NA,NA,NA,NA,NA,NA
49,"DNMT3B complex",7,2,28.57,"O60264, O95239, O95347, Q13547, Q96ST3, Q9NTJ3, Q9UBC3","GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694",15148359,-1.191,-1.617,-2.351,-3.812,-5.997,0.023
50,"RAB5A-RABEP1-RABGEF complex",3,3,100,"P20339, Q15276, Q9UJ41","GO:0006897;GO:0061025;GO:0034058",9323142,1.095,-1.112,1.011,1.023,-1.075,1
55,"HDAC4-ERK1 complex",2,2,100,"P27361, P56524","GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634",11114188,-1.157,14.895,14.677,17.559,24.649,1
57,"HDAC4-ERK2 complex",2,2,100,"P28482, P56524","GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634",11114188,-1.075,16.21,16.695,20.975,30.523,1
58,"SMRT complex",5,2,40,"O15379, O60907, Q13227, Q9BZK7, Q9Y618","GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634",12628926,-1.202,-1.241,-1.235,-1.544,-1.65,0.6
59,"AP3 adaptor complex",7,4,57.14,"O00203, O14617, P53677, P59780, Q13367, Q92572, Q9Y2T2","GO:0006886;GO:0006605;GO:0015031;GO:0006892;GO:0006897;GO:0005773;GO:0005764;GO:0016192",9151686,1.021,-1.037,-1.065,-1.149,-1.215,0.11
61,"Mi2/NuRD complex",7,5,71.43,"O94776, O95983, Q09028, Q13547, Q14839, Q16576, Q92769","GO:0006265;GO:0051276;GO:0005634;GO:0006357",9790534,1.016,-1.061,-1.151,-1.367,-1.671,0.026
62,"MeCP1 complex",8,6,75,"O94776, O95983, Q09028, Q13547, Q14839, Q16576, Q92769, Q9UBB5","GO:0006265;GO:0045892;GO:0003677;GO:0051276;GO:0005634;GO:0016575",10444591,1.016,-1.061,-1.151,-1.367,-1.671,0.027
