"ProteinID","C1_1","C1_2","C2_1","C2_2","C3_1","C3_2","C4_1","C4_2","Log2(Int) C1_1","Log2(Int) C1_2","Log2(Int) C2_1","Log2(Int) C2_2","Log2(Int) C3_1","Log2(Int) C3_2","Log2(Int) C4_1","Log2(Int) C4_2","Mean intensity C1","Mean intensity C2","Mean intensity C3","Mean intensity C4","Condition_1_SD","Condition_2_SD","Condition_3_SD","Condition_4_SD","Condition_1_CV","Condition_2_CV","Condition_3_CV","Condition_4_CV","qValue C2","qValue C3","qValue C4","Log2 intensity C1","Log2 intensity C2","Log2 intensity C3","Log2 intensity C4","Z-Score C1","Z-Score C2","Z-Score C3","Z-Score C4","Ratio C2/C1","Ratio C3/C1","Ratio C4/C1","Fold change C2/C1","Fold change C3/C1","Fold change C4/C1","Log2(ratio) C2/C1","Log2(ratio) C3/C1","Log2(ratio) C4/C1"
"Q8BGE4",23000,22000,42000,40000,40000,35000,32000,31000,14.49,14.43,15.36,15.29,15.29,15.1,14.97,14.92,22500,41000,37500,31500,707,1410,3540,707,3.143,3.449,9.428,2.245,0.02554,0.00264,0.0013,14.458,15.323,15.195,14.943,-1.366,0.899,0.562,-0.096,1.822,1.667,1.4,1.822,1.667,1.4,0.866,0.737,0.485
"Q04211",18000,19000,51000,49000,20000,22000,18000,18000,14.14,14.21,15.64,15.58,14.29,14.43,14.14,14.14,18500,50000,21000,18000,707,1410,1410,0,3.822,2.828,6.734,0,0.00256,0.08123,0.2734,14.175,15.61,14.358,14.136,-0.563,1.486,-0.302,-0.62,2.703,1.135,0.973,2.703,1.135,-1.028,1.435,0.183,-0.039
"P15037",20000,19000,46000,43000,66000,55000,25000,28000,14.29,14.21,15.49,15.39,16.01,15.75,14.61,14.77,19500,44500,60500,26500,707,2120,7780,2120,3.626,4.767,12.86,8.005,0.02561,0.00108,0.00726,14.251,15.442,15.885,14.694,-1.113,0.51,1.114,-0.51,2.282,3.103,1.359,2.282,3.103,1.359,1.19,1.634,0.443
"O89113",5100,5700,8600,9200,9100,7600,7200,7000,12.32,12.48,13.07,13.17,13.15,12.89,12.81,12.77,5400,8900,8350,7100,424,424,1060,141,7.857,4.767,12.7,1.992,0.08662,0.0121,0.00943,12.399,13.12,13.028,12.794,-1.357,0.886,0.599,-0.128,1.648,1.546,1.315,1.648,1.546,1.315,0.721,0.629,0.395
"F6TQW2",34000,30000,50000,52000,55000,55000,45000,49000,15.05,14.87,15.61,15.67,15.75,15.75,15.46,15.58,32000,51000,55000,47000,2830,1410,0,2830,8.839,2.773,0,6.018,0.04519,0.00247,0.00087,14.966,15.638,15.747,15.52,-1.446,0.49,0.804,0.151,1.594,1.719,1.469,1.594,1.719,1.469,0.673,0.782,0.555
"P05627",48000,52000,79000,86000,93000,83000,71000,68000,15.55,15.67,16.27,16.39,16.5,16.34,16.12,16.05,50000,82500,88000,69500,2830,4950,7070,2120,5.657,6,8.035,3.052,0.04519,0.00264,0.00195,15.61,16.332,16.425,16.085,-1.379,0.601,0.856,-0.077,1.65,1.76,1.39,1.65,1.76,1.39,0.722,0.816,0.475
"P12813",25000,24000,140000,140000,81000,84000,49000,54000,14.61,14.55,17.1,17.1,16.31,16.36,15.58,15.72,24500,140000,82500,51500,707,0,2120,3540,2.886,0,2.571,6.865,0.00017,0.00039,4e-05,14.58,17.095,16.332,15.652,-1.251,1.106,0.391,-0.246,5.714,3.367,2.102,5.714,3.367,2.102,2.515,1.751,1.072
"Q06219",7200,6500,13000,17000,16000,14000,8600,11000,12.81,12.67,13.67,14.05,13.97,13.77,13.07,13.43,6850,15000,15000,9800,495,2830,1410,1700,7.226,18.86,9.428,17.32,0.13036,0.01105,0.02641,12.742,13.873,13.873,13.259,-1.272,0.799,0.799,-0.326,2.19,2.19,1.431,2.19,2.19,1.431,1.131,1.131,0.517
"Q9DCV5",16000,17000,25000,32000,17000,18000,18000,15000,13.97,14.05,14.61,14.97,14.05,14.14,14.14,13.87,16500,28500,17500,16500,707,4950,707,2120,4.285,17.37,4.041,12.86,0.17838,0.73214,0.46318,14.01,14.799,14.095,14.01,-0.571,1.492,-0.349,-0.571,1.727,1.061,1,1.727,1.061,1,0.788,0.085,0
"P06804",8900,11000,22000,22000,19000,18000,16000,16000,13.12,13.43,14.43,14.43,14.21,14.14,13.97,13.97,9950,22000,18500,16000,1480,0,707,0,14.92,0,3.822,0,0.02561,0.00372,0.00121,13.28,14.425,14.175,13.966,-1.386,0.943,0.435,0.008,2.211,1.859,1.608,2.211,1.859,1.608,1.145,0.895,0.685
